moves_used,move_limit
1518469,34998810
1776756,34999020
1229047,34976130
861301,34994925
1324175,34994470
462820,34998810
107874,34993350
1267712,34988205
54908,34996710
431822,34997340
342613,34984950
945497,34997760
418475,35000000
611780,34999930
519238,34988800
592111,34993735
126141,34999440
856129,34990725
284413,34986105
1643829,34997270
3441042,34996430
3761439,34993350
1556226,34997270
785117,34982990
545696,34999720
581614,34993840
908343,34997200
55603,34978860
339228,34999020
1722631,34998810
1648953,34983130
1055448,34982990
5425581,34999650
1903219,34998810
658923,34985475
2671847,34994575
101817,34989570
906320,34997025
1120858,34999055
500641,34993280
364554,34999860
221307,34999965
194886,34998040
335974,34989360
1631234,34981205
764871,34984460
415828,34979000
1037332,34991880
1394047,34994960
274344,34997760
3077160,34989150
3937288,34973190
1432412,34997200
76561,34989780
889536,34978300
647385,34996675
230901,34998495
555753,34996500
594843,34991040
378013,34986700
472961,34999440
229099,34989150
210728,34998705
539974,34995555
180769,34997200
410719,34997270
1123554,34999020
612912,34982990
3058407,34987680
1283238,34972315
846032,34999965
161984,34994960
421518,34989570
1511462,34984320
2135560,34997760
1709267,34984565
47486,34998600
1389581,34998810
253280,34981590
1632494,34996185
165348,34984460
754663,34998390
1348245,34998495
502929,34982990
1510728,34998740
799496,34999965
1292002,34999440
56384,34970565
5526218,34991880
354156,34997760
4292981,34999650
61186,34996500
907308,34986595
195411,34985860
67781,34975710
1209591,34992160
398122,34998390
1560256,34992720
679381,34987680
160330,34999650
2121939,34980400
524887,34998600
1101322,34999650
288469,34994295
3792908,34993140
2104332,34995240
621469,34996290
210795,34996920
628494,35000000
258641,34994785
614669,34975710
759618,34997270
1465043,34981065
47067,34997760
1024243,34993840
601368,34983025
23669,34998250
333451,34974975
764845,34999125
1470974,34998740
3456299,34975360
794670,34998250
620459,34995660
184091,34999965
775168,34997025
226437,34982325
180765,34997760
677021,34995520
2030107,34987610
28192,34989360
767893,34997760
369071,34988800
1330643,34999440
3832222,34995555
1736737,34991040
3952290,34990725
